Year,Month_Num,Month_Name,Quarter,Region,Product_ID,Product_Name,Category,Budgeted_Revenue,Budgeted_COGS,Budgeted_GP,Budgeted_Units
2022,1,January,Q1,North,P001,Laptop Pro 15,Electronics,6473.95,3366.45,3107.5,72
2022,1,January,Q1,South,P001,Laptop Pro 15,Electronics,24886.15,12940.8,11945.35,188
2022,1,January,Q1,East,P001,Laptop Pro 15,Electronics,19205.13,9986.67,9218.46,190
2022,1,January,Q1,West,P001,Laptop Pro 15,Electronics,13745.27,7147.54,6597.73,281
2022,1,January,Q1,Central,P001,Laptop Pro 15,Electronics,11945.64,6211.73,5733.91,154
2022,1,January,Q1,North,P002,Wireless Mouse,Electronics,22859.84,9143.94,13715.9,229
2022,1,January,Q1,South,P002,Wireless Mouse,Electronics,32557.29,13022.92,19534.37,85
2022,1,January,Q1,East,P002,Wireless Mouse,Electronics,36291.3,14516.52,21774.78,63
2022,1,January,Q1,West,P002,Wireless Mouse,Electronics,38288.6,15315.44,22973.16,134
2022,1,January,Q1,Central,P002,Wireless Mouse,Electronics,5862.63,2345.05,3517.58,196
2022,1,January,Q1,North,P003,Office Chair,Furniture,39465.64,21706.1,17759.54,32
2022,1,January,Q1,South,P003,Office Chair,Furniture,18865.7,10376.14,8489.56,79
2022,1,January,Q1,East,P003,Office Chair,Furniture,12872.57,7079.91,5792.66,247
2022,1,January,Q1,West,P003,Office Chair,Furniture,22810.88,12545.98,10264.9,142
2022,1,January,Q1,Central,P003,Office Chair,Furniture,30577.57,16817.66,13759.91,27
2022,1,January,Q1,North,P004,Standing Desk,Furniture,26571.61,15411.53,11160.08,185
2022,1,January,Q1,South,P004,Standing Desk,Furniture,29240.82,16959.68,12281.14,210
2022,1,January,Q1,East,P004,Standing Desk,Furniture,24949.79,14470.88,10478.91,30
2022,1,January,Q1,West,P004,Standing Desk,Furniture,41024.57,23794.25,17230.32,115
2022,1,January,Q1,Central,P004,Standing Desk,Furniture,5334.12,3093.79,2240.33,240
2022,1,January,Q1,North,P005,Monitor 27inch,Electronics,8303.15,3985.51,4317.64,203
2022,1,January,Q1,South,P005,Monitor 27inch,Electronics,14055.5,6746.64,7308.86,298
2022,1,January,Q1,East,P005,Monitor 27inch,Electronics,28894.55,13869.38,15025.17,54
